"Date","Transaction Status","Account Type","Transaction type","Order ID","Product Details","Total product charges","Total promotional rebates","Amazon fees","Other","Total (INR)"
"6/8/2025","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","407-1459341-2598717","Hard Case for Fluke 87-V / 88V Digital M...","13786.44","0","-2391.62","2398.85","13793.67"
"6/8/2025","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","406-4286724-6944317","Sinjimoru Detachable Phone Grip Kickstan...","2825.61","0","-786.84","491.65","2530.42"
"6/8/2025","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","402-7714710-9076348","TUSITA Case Compatible With Garmin Varia...","1893.56","0","-434.39","329.47","1788.64"
"6/8/2025","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","404-8071021-2679504","Laptop External Independent Video Card D...","4863.3","0","-490.45","846.2","5219.05"
"6/8/2025","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","407-9094212-7472328","Phone Holster for Samsung Galaxy Z Fold ...","2060.38","0","-605.71","358.5","1813.17"
"6/8/2025","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","402-3419764-5053109","LEFXMOPHY Go Mic Foam for Rode Interview...","2060.38","0","-433.58","358.5","1985.3"
"6/8/2025","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","408-1975615-2666762","Cute Case for Airpods Pro 2nd/1st Genera...","2060.38","0","-835.21","358.5","1583.67"
"6/8/2025","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","406-7016825-1217133","10 Pack Pen Tips Compatible with Remarka...","2060.38","0","-605.71","358.5","1813.17"
"6/8/2025","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","404-9113933-1574722","BRCOVAN Motorcycle Cross Bar, Aluminum A...","5882.56","0","-1428.55","1023.56","5477.57"
"6/8/2025","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","171-0580456-2834706","MOSISO Laptop Case 13.3 inch, 13-13.3 in...","3112.73","0","-746.45","541.6","2907.88"
"6/8/2025","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","408-8741387-3125955","RunCam 2PCS Micro-to-Full-Size Mounting ...","2060.38","0","-605.71","358.49","1813.16"
"6/8/2025","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","405-1074005-2263565","HangTon PD QC Power Bank 12V USB C to Hi...","4510.63","0","-1405.52","784.84","3889.95"
"6/8/2025","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","403-2235010-8253111","Cisco Business CBS110-8T-D Unmanaged Swi...","22731.72","0","-2768.14","3955.32","23918.9"
"6/8/2025","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","406-3338019-9663509","TECWARE Flex RGB, Cable Cover Kit, Light...","5585.74","0","-1440.2","971.91","5117.45"
"6/8/2025","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","404-8686271-5865161","WOCCI 21mm Old-fashioned Watch Band for ...","5957.3","0","-1480.24","1036.56","5513.62"
"6/8/2025","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","404-4088218-6973917","JLab Audio JBuddies Studio Bluetooth Ove...","4761.93","0","-1311.49","828.57","4279.01"
"6/8/2025","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","407-7423260-9639505","MCXGL 16mm Resin Strap Replacement for c...","2319.03","0","-602.35","403.49","2120.17"
"6/8/2025","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","402-0446924-5006732","6 Piece - Bufferman Premium Acoustic Gui...","84.74","0","-64.9","14.75","34.59"
"6/8/2025","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","403-1875432-7658720","Yogee Enterprise Zeenu Creation Blender ...","92.37","0","-53.1","16.07","55.34"
"6/8/2025","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","171-6970714-3255545","Mini Bass Speaker, mohoss Portable Plug ...","2759.32","0","-662.98","480.11","2576.45"
"5/8/2025","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","171-2741041-1232328","USB Wifi Adapter 600Mbps EDUP 802.11ac D...","1347.46","0","-387.74","234.44","1194.16"
"5/8/2025","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","407-9321242-2993146","Wired Headphones USB C Earbuds for iPhon...","2825.61","0","-826.18","491.65","2491.08"
"5/8/2025","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","402-7469181-9854761","SURITCH for Samsung Galaxy Z Fold 6 Case...","6207.92","0","-2278.98","1080.17","5009.11"
"5/8/2025","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","405-4818279-6513954","ontto Key Fob Cover for 2018 2019 Land R...","2825.62","0","-747.5","491.65","2569.77"
"5/8/2025","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","404-6287772-7651507","120N/27 lb 8 inch Length Gas Support Cab...","2710.84","0","-570.96","471.68","2611.56"
"5/8/2025","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","404-3968964-3352322","Silicone Holder for Galaxy smarttag2 (20...","2516.46","0","-713.66","437.86","2240.66"
"5/8/2025","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","404-9254565-8791568","Car Phone Holder Mount,Dashboard/Windshi...","3269.81","0","-1415.58","568.93","2423.16"
"5/8/2025","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","403-8646974-8852316","Koss Porta Pro I Prolite Wired On Ear He...","6727.86","0","-1804.22","1170.64","6094.28"
"5/8/2025","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","407-8374329-0707563","Cables Unlimited 18-Inch IDE Dual Device...","1983.85","0","-670.47","345.19","1658.57"
"5/8/2025","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","403-0750628-4701100","MOSISO 15-15.6 inch Laptop Case, 16 inch...","5082.19","0","-1144.08","884.29","4822.4"
"5/8/2025","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","402-8271568-3640302","Chofit Metal Mesh Stainless Steel Loop C...","2364.94","0","-677.81","411.5","2098.63"
"5/8/2025","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","404-8550879-1257939","WOCCI 18mm Lug Width, Elegant Watch Band...","2672.56","0","-676.18","465.02","2461.4"
"5/8/2025","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","406-0681514-5808353","DJI Magnetic Ring Clamp Holder - for Mag...","2972.53","0","-676.76","517.21","2812.98"
"5/8/2025","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","406-4820334-4036360","Hard EVA Travel Case for Jabra Freeway B...","2060.38","0","-605.71","358.5","1813.17"
"5/8/2025","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","403-3788982-9413120","UpBright 36V AC/DC Adapter Compatible wi...","2626.64","0","-739.74","457.04","2343.94"
"5/8/2025","Released","Cash On Delivery Transactions and Non-Transactional Fees","Order Payment","407-3296963-9493139","YEELIYA PCI-E to Type C (2),Type A (3) U...","4747.14","0","-481.55","825.99","5091.58"
"5/8/2025","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","405-1757780-8949151","Aqua RO Tap with Washers + Nozzle Closur...","67.8","0","-53.1","11.79","26.49"
"4/8/2025","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","407-3463187-2603535","Acoustic Guitar Belt Strap","101.69","0","-67.26","17.69","52.12"
"4/8/2025","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","406-6855698-3053955","BINLUN Stainless Steel Watch Bands Repla...","4509.1","0","-1059.77","784.58","4233.91"
"4/8/2025","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","408-0811895-4437156","JARLINK Electric Pencil Sharpener, Heavy...","4309.16","0","-958.01","749.79","4100.94"
"4/8/2025","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","402-4132526-4745133","MOSISO 360 Protective Laptop Case 15 inc...","5499.94","0","-1228.42","957","5228.52"
